,image_path,species
5357,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-20 17-54-33.JPG,red deer
5358,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-21 08-53-28.JPG,bird
5359,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-21 21-36-42.JPG,red deer
5360,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-22 10-14-46.JPG,bird
5361,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-22 10-15-33.JPG,bird
5362,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-23 09-20-20.JPG,bird
5363,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-24 21-26-42.JPG,beaver
5364,../pictures/10_ŁUPKÓW/R/Wiosna/1/2023-05-25 13-43-55.JPG,roe deer
5365,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-02 18-49-14.JPG,roe deer
5366,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-03 10-00-24.JPG,roe deer
5367,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-03 10-00-49.JPG,roe deer
5368,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-03 10-00-57.JPG,roe deer
5369,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-03 10-01-04.JPG,roe deer
5370,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-05 08-50-14.JPG,red deer
5371,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-05 16-24-41.JPG,red deer
5372,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-05 16-26-25.JPG,red deer
5373,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-05 16-26-33.JPG,red deer
5374,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-05 16-27-05.JPG,red deer
5375,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-06 13-14-43.JPG,roe deer
5376,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-40-24.JPG,red deer
5377,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-41-11.JPG,red deer
5378,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-41-30.JPG,red deer
5379,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-41-42.JPG,red deer
5380,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-43-00.JPG,red deer
5381,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-43-44.JPG,red deer
5382,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-43-51.JPG,red deer
5383,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-44-25.JPG,red deer
5384,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-44-32.JPG,red deer
5385,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-44-54.JPG,red deer
5386,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-45-01.JPG,red deer
5387,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-45-10.JPG,red deer
5388,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-08 16-45-47.JPG,red deer
5389,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-10 14-11-41.JPG,red deer
5390,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-11 19-52-29.JPG,red deer
5391,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-12 23-22-03.JPG,red deer
5392,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-13 09-00-21.JPG,roe deer
5393,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-15 12-00-35.JPG,red deer
5394,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-15 12-00-45.JPG,red deer
5395,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-15 12-03-16.JPG,red deer
5396,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 07-38-46.JPG,red deer
5397,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 13-46-33.JPG,red deer
5398,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 13-47-05.JPG,red deer
5399,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 13-47-20.JPG,red deer
5400,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 13-47-56.JPG,red deer
5401,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 13-48-19.JPG,red deer
5402,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-16 14-30-15.JPG,other
5403,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-17 19-59-35.JPG,red deer
5404,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 11-59-30.JPG,red deer
5405,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-01-25.JPG,red deer
5406,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-01-59.JPG,red deer
5407,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-02-33.JPG,red deer
5408,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-05-02.JPG,red deer
5409,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-08-01.JPG,red deer
5410,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-08-23.JPG,red deer
5411,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-08-48.JPG,red deer
5412,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-09-38.JPG,red deer
5413,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-10-15.JPG,red deer
5414,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-10-52.JPG,red deer
5415,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-11-40.JPG,red deer
5416,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-11-48.JPG,red deer
5417,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-13-43.JPG,red deer
5418,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-16-08.JPG,red deer
5419,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-16-20.JPG,red deer
5420,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-23-04.JPG,red deer
5421,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-18 12-35-12.JPG,red deer
5422,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-19 14-19-47.JPG,red deer
5423,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-22 18-17-54.JPG,red deer
5424,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-23 09-22-36.JPG,roe deer
5425,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-23 12-38-47.JPG,red deer
5426,../pictures/10_ŁUPKÓW/R/Wiosna/2/2023-05-24 19-11-35.JPG,roe deer
5427,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-02 21-35-01.JPG,red deer
5428,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-02 21-35-09.JPG,red deer
5429,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-02 21-35-45.JPG,red deer
5430,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-02 21-36-35.JPG,red deer
5431,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-04 12-29-06.JPG,empty
5432,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-08 05-31-41.JPG,roe deer
5433,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-08 05-32-39.JPG,roe deer
5434,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-09 06-00-51.JPG,roe deer
5435,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-09 06-01-25.JPG,roe deer
5436,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-09 06-01-56.JPG,roe deer
5437,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-09 06-03-21.JPG,roe deer
5438,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-09 21-18-24.JPG,bird
5439,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-12 09-56-24.JPG,roe deer
5440,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-14 11-31-48.JPG,other
5441,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-16 08-18-27.JPG,red deer
5442,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-16 08-57-55.JPG,roe deer
5443,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-19 14-34-29.JPG,red deer
5444,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-22 18-28-33.JPG,red deer
5445,../pictures/10_ŁUPKÓW/R/Wiosna/3/2023-05-23 12-37-00.JPG,red deer
5446,../pictures/10_ŁUPKÓW/R/Zima/1/2023-02-10 20-15-45.JPG,empty
5447,../pictures/10_ŁUPKÓW/R/Zima/2/2023-02-09 02-19-07.JPG,empty
5448,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-06-26 19-34-34.JPG,empty
5449,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 14-31-44.JPG,bird
5450,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 14-32-47.JPG,bird
5451,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 14-57-07.JPG,bird
5452,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 15-22-09.JPG,bird
5453,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 15-22-22.JPG,bird
5454,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 15-24-24.JPG,bird
5455,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 15-26-30.JPG,bird
5456,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-03 15-30-35.JPG,bird
5457,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-05 04-37-22.JPG,roe deer
5458,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-05 14-04-28.JPG,bird
5459,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-05 14-07-02.JPG,bird
5460,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-05 14-11-17.JPG,bird
5461,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-05 20-42-14.JPG,red deer
5462,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-03-48.JPG,bear
5463,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-03-56.JPG,bear
5464,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-04-03.JPG,bear
5465,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-04-10.JPG,bear
5466,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-04-20.JPG,bear
5467,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-04-40.JPG,bear
5468,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-04-56.JPG,bear
5469,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-05-07.JPG,bear
5470,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-05-14.JPG,bear
5471,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-05-22.JPG,bear
5472,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-06 07-05-32.JPG,bear
5473,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-07 05-25-29.JPG,marten
5474,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-07 05-27-42.JPG,marten
5475,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-08 12-48-47.JPG,bird
5476,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-08 12-48-57.JPG,bird
5477,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-08 12-49-05.JPG,bird
5478,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 08-49-11.JPG,empty
5479,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 09-00-12.JPG,empty
5480,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 09-54-49.JPG,empty
5481,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 09-57-30.JPG,empty
5482,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-29-23.JPG,empty
5483,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-33-40.JPG,empty
5484,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-36-49.JPG,empty
5485,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-36-58.JPG,empty
5486,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-37-08.JPG,empty
5487,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-37-28.JPG,empty
5488,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-42-29.JPG,empty
5489,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-46-55.JPG,empty
5490,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-48-09.JPG,empty
5491,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-48-39.JPG,empty
5492,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-48-53.JPG,empty
5493,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-51-01.JPG,empty
5494,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-51-11.JPG,empty
5495,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-55-51.JPG,empty
5496,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 11-57-51.JPG,empty
5497,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-03-23.JPG,empty
5498,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-05-28.JPG,empty
5499,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-05-40.JPG,empty
5500,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-08-38.JPG,empty
5501,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-09-49.JPG,empty
5502,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-12-45.JPG,empty
5503,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-13-07.JPG,empty
5504,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-13-16.JPG,empty
5505,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-15-05.JPG,empty
5506,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-17-40.JPG,empty
5507,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-21-11.JPG,empty
5508,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-23-42.JPG,empty
5509,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-28-42.JPG,empty
5510,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-28-52.JPG,empty
5511,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-39-47.JPG,empty
5512,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-40-22.JPG,empty
5513,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-40-37.JPG,empty
5514,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-44-00.JPG,empty
5515,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-51-53.JPG,empty
5516,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-53-04.JPG,empty
5517,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-53-52.JPG,empty
5518,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-54-04.JPG,empty
5519,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-54-36.JPG,empty
5520,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 12-56-17.JPG,empty
5521,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-01-01.JPG,empty
5522,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-08-33.JPG,empty
5523,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-08-43.JPG,empty
5524,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-09-12.JPG,empty
5525,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-11-22.JPG,empty
5526,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-15-28.JPG,empty
5527,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-16-25.JPG,empty
5528,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-20-00.JPG,empty
5529,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-21-47.JPG,empty
5530,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-22-57.JPG,empty
5531,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-24-11.JPG,empty
5532,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-26-04.JPG,empty
5533,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-26-11.JPG,empty
5534,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-28-56.JPG,empty
5535,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-51-28.JPG,empty
5536,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-51-38.JPG,empty
5537,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-53-52.JPG,empty
5538,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 13-54-27.JPG,empty
5539,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 15-50-50.JPG,empty
5540,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-12 15-53-30.JPG,empty
5541,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-13 00-08-48.JPG,red deer
5542,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-13 08-45-03.JPG,empty
5543,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-13 09-00-35.JPG,empty
5544,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-13 10-25-51.JPG,empty
5545,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 11-51-00.JPG,empty
5546,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 11-51-18.JPG,empty
5547,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 11-51-28.JPG,empty
5548,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 11-52-00.JPG,empty
5549,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 11-58-33.JPG,empty
5550,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-36-27.JPG,empty
5551,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-37-40.JPG,empty
5552,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-37-51.JPG,empty
5553,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-37-58.JPG,empty
5554,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-38-06.JPG,empty
5555,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 12-41-25.JPG,empty
5556,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 13-12-53.JPG,empty
5557,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 13-20-38.JPG,empty
5558,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 13-21-03.JPG,empty
5559,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 14-00-11.JPG,empty
5560,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 14-26-45.JPG,empty
5561,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 20-54-26.JPG,red deer
5562,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 20-54-35.JPG,red deer
5563,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 20-55-12.JPG,red deer
5564,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-14 21-21-54.JPG,empty
5565,../pictures/11_ZUBEŃSKO/B/Lato/1/2023-07-15 02-25-03.JPG,empty
5566,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 02-21-34.JPG,empty
5567,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 16-43-15.JPG,roe deer
5568,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 16-43-26.JPG,roe deer
5569,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 16-43-47.JPG,empty
5570,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 19-26-30.JPG,roe deer
5571,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-04 19-28-42.JPG,roe deer
5572,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 04-12-22.JPG,red deer
5573,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 04-13-23.JPG,red deer
5574,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 04-13-31.JPG,red deer
5575,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 04-14-03.JPG,red deer
5576,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 04-14-17.JPG,red deer
5577,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 07-14-25.JPG,red deer
5578,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 17-29-06.JPG,roe deer
5579,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-09 17-29-46.JPG,roe deer
5580,../pictures/11_ZUBEŃSKO/B/Lato/2/2023-07-15 04-11-12.JPG,other
5581,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-06-25 19-45-32.JPG,red deer
5582,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-06-29 10-46-32.JPG,roe deer
5583,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-06-29 22-43-03.JPG,wild boar
5584,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-06-29 22-43-12.JPG,wild boar
5585,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-07-13 01-35-44.JPG,red deer
5586,../pictures/11_ZUBEŃSKO/B/Lato/3/2023-07-15 04-28-05.JPG,other
5587,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-17 00-47-04.JPG,wolf
5588,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-17 14-30-14.JPG,empty
5589,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-18 01-38-35.JPG,wildcat
5590,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-18 01-39-22.JPG,wildcat
5591,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-18 01-39-42.JPG,wildcat
5592,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-22 08-41-57.JPG,roe deer
5593,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-22 08-42-10.JPG,roe deer
5594,../pictures/11_ZUBEŃSKO/B/Późna jesień/1/2022-11-22 08-42-35.JPG,roe deer
5595,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 18-47-38.JPG,beaver
5596,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 20-51-51.JPG,beaver
5597,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 20-52-00.JPG,beaver
5598,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 21-03-00.JPG,beaver
5599,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 21-17-49.JPG,beaver
5600,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 21-17-57.JPG,beaver
5601,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 21-24-49.JPG,beaver
5602,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 22-30-09.JPG,beaver
5603,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-13 22-33-09.JPG,beaver
5604,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-14 02-18-57.JPG,beaver
5605,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-14 02-43-16.JPG,beaver
5606,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-14 17-45-31.JPG,beaver
5607,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-14 20-42-56.JPG,beaver
5608,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-15 17-01-11.JPG,beaver
5609,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-15 18-40-37.JPG,beaver
5610,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-16 21-48-04.JPG,beaver
5611,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-17 00-51-09.JPG,wolf
5612,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-17 00-51-16.JPG,wolf
5613,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-17 00-51-37.JPG,wolf
5614,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-17 01-00-04.JPG,empty
5615,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-18 20-02-25.JPG,beaver
5616,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-18 23-18-52.JPG,beaver
5617,../pictures/11_ZUBEŃSKO/B/Późna jesień/2/2022-11-21 18-08-07.JPG,beaver
5618,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-14 07-52-35.JPG,roe deer
5619,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-14 11-40-23.JPG,bird
5620,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-15 00-03-14.JPG,bison
5621,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-15 11-50-17.JPG,roe deer
5622,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-15 11-50-30.JPG,roe deer
5623,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-15 11-51-19.JPG,roe deer
5624,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-17 06-16-51.JPG,other
5625,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-18 18-08-19.JPG,fox
5626,../pictures/11_ZUBEŃSKO/B/Późna jesień/3/2022-12-19 07-48-44.JPG,empty
5627,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-11 01-55-40.JPG,bear
5628,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-15 08-16-18.JPG,red deer
5629,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-15 08-18-01.JPG,red deer
5630,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-16 02-30-47.JPG,red deer
5631,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-18 00-32-17.JPG,red deer
5632,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-09-19 21-35-00.JPG,empty
5633,../pictures/11_ZUBEŃSKO/B/Wczesna jesień/1/2022-10-02 18-48-30.JPG,wildcat
